searge,name,side,desc
#FontRenderer,,,
field_238402_e_,characterManager,0,
field_230706_i_,minecraft,0,
field_230712_o_,fontRenderer,0,
field_230708_k_,width,0,
field_230709_l_,height,0,
field_230707_j_,itemRenderer,0,
field_230710_m_,buttons,0,
field_230711_n_,passEvents,0,
field_230703_c_,clickedLink,0,
field_230701_a_,LOGGER,0,
field_230702_b_,ALLOWED_PROTOCOLS,0,
field_230704_d_,title,0,
field_230705_e_,children,0,
field_230663_f_,BACKGROUND_LOCATION,0,
field_230664_g_,STATS_ICON_LOCATION,0,
field_230665_h_,GUI_ICONS_LOCATION,0,
field_230662_a_,blitOffset,0,
field_235703_g_,material,2,
field_235704_h_,materialColor,2,
field_235702_f_,isAir,2,
field_235705_i_,hardness,2,
field_235707_k_,isSolid,2,
field_235892_c_,object,2,
field_235890_a_,MAP_ENTRY_TO_STRING,2,
field_235891_b_,properties,2,
field_235894_e_,propertyToStateMap,2,
field_240952_b_,resourceManager,2,
field_240954_d_,recipeManager,2,
field_240955_e_,networkTagManager,2,
field_240956_f_,lootPredicateManager,2,
field_240957_g_,lootTableManager,2,
field_240958_h_,advancementManager,2,
field_240959_i_,functionReloader,2,
field_240953_c_,commands,2,
field_235689_au_,resistance,2,
field_242898_b,CHANCE,2,
field_242899_c,COUNT,2,
field_242900_d,COUNT_NOISE,2,
field_242901_e,COUNT_NOISE_BIASED,2,
field_242902_f,COUNT_EXTRA,2,
field_242903_g,SQUARE,2,
field_242904_h,HEIGHTMAP,2,
field_242905_i,HEIGHTMAP_SPREAD_DOUBLE,2,
field_242906_k,HEIGHTMAP_WORLD_SURFACE,2,
field_242907_l,RANGE,2,
field_242908_m,RANGE_BIASED,2,
field_242909_n,RANGE_VERY_BIASED,2,
field_242910_o,DEPTH_AVERAGE,2,
field_242911_p,SPREAD_32_ABOVE,2,
field_236960_A_,FIRE,2,
field_242912_w,GLOWSTONE,2,
field_242896_B,DECORATED,2,
field_242897_C,COUNT_MULTILAYER,2,
field_242813_c,BOTTOM_OFFSET,2,
field_242814_d,top_offset,2,
field_242815_e,maximum,2,
field_242424_k,biomeGenerationSettings,2,
